"id","sourceSystem","repository","collectionId","parentId","level","title","createdDate","uniqueIdentifier","dimensions","languages","subjects","copyrightStatus","copyrightStatement","linkToSource","access","format","dedication","description","modifiedDate","thumbnail","filePath","sequence","collectionInformation","fileId","mimeType","workType","medium","creators","width","height","md5Checksum","creationPlace"
"BOO_004476467_014.tif","Aleph","HESB","004476467","004476467","file","014","","","","","","","","","","","","","2020-04-28T21:06:44Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_014.tif","13","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","5ef77973b50dfbe629cb849a4c1053f6-1",""
"BOO_004476467_015.tif","Aleph","HESB","004476467","004476467","file","015","","","","","","","","","","","","","2020-04-28T21:06:44Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_015.tif","14","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","4bfe0c053d8de93760ec2c2397996bb2-1",""
"BOO_004476467_016.tif","Aleph","HESB","004476467","004476467","file","016","","","","","","","","","","","","","2020-04-28T21:07:14Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_016.tif","15","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","64ce48113bdd4a34f19377911810cc27-1",""
"BOO_004476467_017.tif","Aleph","HESB","004476467","004476467","file","017","","","","","","","","","","","","","2020-04-28T21:07:14Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_017.tif","16","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","35f50457568c1fd245d5548823df3c10-1",""
"BOO_004476467_018.tif","Aleph","HESB","004476467","004476467","file","018","","","","","","","","","","","","","2020-04-28T21:07:44Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_018.tif","17","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","a797063534f05fb29e8d55aa6038728b-1",""
"BOO_004476467_019.tif","Aleph","HESB","004476467","004476467","file","019","","","","","","","","","","","","","2020-04-28T21:08:14Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_019.tif","18","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","d9a61f092ffbeedf211b41a43c6e603b-1",""
"BOO_004476467_020.tif","Aleph","HESB","004476467","004476467","file","020","","","","","","","","","","","","","2020-04-28T21:08:14Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_020.tif","19","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","5803af4994f01366b594d43c2bfffc9e-1",""
"BOO_004476467_021.tif","Aleph","HESB","004476467","004476467","file","021","","","","","","","","","","","","","2020-04-28T21:08:44Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_021.tif","20","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","9790c721308e5a51ae0f5465223e06de-1",""
"BOO_004476467_022.tif","Aleph","HESB","004476467","004476467","file","022","","","","","","","","","","","","","2020-04-28T21:08:44Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_022.tif","21","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","ecdf3e1ead614267a4b5f628736673a1-1",""
"BOO_004476467_023.tif","Aleph","HESB","004476467","004476467","file","023","","","","","","","","","","","","","2020-04-28T21:09:14Z","False","s3://libnd-smb-rbsc/digital/MARBLE-images/BOO_004476467/BOO_004476467_023.tif","22","","https://rarebooks.library.nd.edu/digital/MARBLE-images/BOO_004476467/BOO_004476467","","","","","","","ce96745af22aedeab4bc114c67523f23-1",""
