"id","sourceSystem","repository","collectionId","parentId","level","title","createdDate","uniqueIdentifier","dimensions","languages","subjects","copyrightStatus","copyrightStatement","linkToSource","access","format","dedication","description","modifiedDate","thumbnail","filePath","sequence","collectionInformation","fileId","mimeType","workType","medium","creators","width","height","md5Checksum","creationPlace"
"pdf","EmbARK","museum","pdf","root","manifest","Memento Mori: Death Comes to the Table","1620-1659","pdf","48 x 57 1/4 x 4 3/8 in. (121.92 x 145.42 x 11.11 cm)","","[{""authority"": ""AAT"", ""term"": ""allegory"", ""uri"": ""http://vocab.getty.edu/aat/300055866""}, {""authority"": ""AAT"", ""term"": ""Baroque"", ""uri"": ""http://vocab.getty.edu/aat/300021147""}, {""authority"": ""AAT"", ""term"": ""food"", ""uri"": ""http://vocab.getty.edu/aat/300254496""}, {""authority"": ""AAT"", ""term"": ""glassware"", ""uri"": ""http://vocab.getty.edu/aat/300010898""}, {""authority"": ""AAT"", ""term"": ""grape"", ""uri"": ""http://vocab.getty.edu/aat/300379338""}, {""authority"": ""AAT"", ""term"": ""skeletons"", ""uri"": ""http://vocab.getty.edu/aat/300191778""}, {""authority"": ""AAT"", ""term"": ""tables"", ""uri"": ""http://vocab.getty.edu/aat/300039548""}]","Public domain","","","Galleries: 16th and 17th Century Art Gallery","","Partial gift by an anonymous donor; gift of Mrs. James Alsdorf, by Exchange; Mr. and Mrs. Robert Raclin, Mr. and Mrs. Russell G. Ashbaugh, Mr. Joseph Richard Skelton funds","","2020-04-16T09:59:38Z","","","0","","","","Paintings","oil on canvas","[{""attribution"": """", ""role"": ""Primary"", ""fullName"": ""Giovanni Martinelli"", ""nationality"": ""Italian"", ""lifeDates"": ""1600 - 1659"", ""startDate"": ""1600"", ""endDate"": ""1659"", ""human"": true, ""alive"": false, ""display"": ""Giovanni Martinelli (Italian, 1600 - 1659)""}]","","","","{""continent"": """", ""country"": """", ""state"": """", ""county"": """", ""city"": """", ""historic"": """"}"
"1999_024-v0001.jpg","EmbARK","museum","pdf","pdf","file","1999_024-v0001.jpg","","","","","","","","","","","","1999_024-v0001.jpg","2019-07-02T13:17:50.303Z","True","s3://libnd_rbsc/pdfs/pdf.pdf","1","","10JWnCbb62Omt9PXHDdvq948rprafNi3J","application/pdf","","","","","","34a26ae84db719648e66a32cb2f8af38",""
