sourceSystem,repository,collectionId,parentId,id,level,title,creator,dateCreated,uniqueIdentifier,dimensions,languages,subjects,usage,license,linkToSource,access,format,dedication,description,modifiedDate,thumbnail,filePath,fileId,sequence,collectionInformation,creators,fileInfo
,,MSNMN5004_EAD,aspace_d08f40f746257e1cfdd33cc825726c3d,MSN-MN_5004-35.env.b.150.jpg,file,env b 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:09,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-35.env.b.150.jpg,,5,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-35.env.b.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""ffb8aae56cec08d01323ede59ac047a9-1""', 'Size': 139875, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-35', 'Label': 'env b 150 jpg', 'Order': 5, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-35.env.b.150.jpg'}"
,,MSNMN5004_EAD,MSNMN5004_EAD,aspace_d08f40f746257e1cfdd33cc825726c3d,manifest,"Letter, John F. Delaney, Circle City, Alaska, to Caroline D. Delaney, Salt Lake City, Utah",,1899 June 26,MSN/MN 5004-35,,,,,,https://archivesspace.library.nd.edu/ark:/56090/508641,,,,,,,,,,,,
,,MSNMN5004_EAD,aspace_2245d4e67c134217143a3fe1b8885b55,MSN-MN_5004-36.a.150.jpg,file,a 150 jpg,,,,,,,,,,,,,"Letter, John F. Delaney, Seattle, Washington, to Caroline D. Delaney, [Salt Lake City, Utah], Page 1",2018-12-11 16:01:08,True,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-36.a.150.jpg,,0,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-36.a.150.jpg', 'LastModified': '2018-12-11 16:01:08', 'ETag': '""4d82c53f7d776126e4d8927f136c0d62-1""', 'Size': 206838, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-36', 'Label': 'a 150 jpg', 'Order': 0, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-36.a.150.jpg'}"
,,MSNMN5004_EAD,aspace_2245d4e67c134217143a3fe1b8885b55,MSN-MN_5004-36.bc.150.jpg,file,bc 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:09,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-36.bc.150.jpg,,1,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-36.bc.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""e62cc9475da4847650548fe7ff18750a-1""', 'Size': 254986, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-36', 'Label': 'bc 150 jpg', 'Order': 1, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-36.bc.150.jpg'}"
,,MSNMN5004_EAD,MSNMN5004_EAD,aspace_2245d4e67c134217143a3fe1b8885b55,manifest,"Letter, John F. Delaney, Seattle, Washington, to Caroline D. Delaney, [Salt Lake City, Utah]",,1899 September 23,MSN/MN 5004-36,,,,,,https://archivesspace.library.nd.edu/ark:/56090/508642,,,,,,,,,,,,
,,MSNMN5004_EAD,aspace_2a4211705605d82570a6ba3e4e94dca0,MSN-MN_5004-37.a.150.jpg,file,a 150 jpg,,,,,,,,,,,,,"Letter, [John F. Delaney], Seattle, Washington, to Caroline D. Delaney, [Salt Lake City, Utah], Page 1",2018-12-11 16:01:09,True,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37.a.150.jpg,,0,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37.a.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""2ab647bb76a7c1896a22e32bbb71aee8-1""', 'Size': 166197, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37', 'Label': 'a 150 jpg', 'Order': 0, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37.a.150.jpg'}"
,,MSNMN5004_EAD,aspace_2a4211705605d82570a6ba3e4e94dca0,MSN-MN_5004-37.bc.150.jpg,file,bc 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:09,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37.bc.150.jpg,,1,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37.bc.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""0f11c6ebd1921e44f87449821c9f4c19-1""', 'Size': 233468, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37', 'Label': 'bc 150 jpg', 'Order': 1, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37.bc.150.jpg'}"
,,MSNMN5004_EAD,aspace_2a4211705605d82570a6ba3e4e94dca0,MSN-MN_5004-37.d.150.jpg,file,d 150 jpg,,,,,,,,,,,,,,2018-12-11 16:01:09,False,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37.d.150.jpg,,2,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37.d.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""421e9b6c20c26ee10f34551216b858fc-1""', 'Size': 176474, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37', 'Label': 'd 150 jpg', 'Order': 2, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-37.d.150.jpg'}"
,,MSNMN5004_EAD,MSNMN5004_EAD,aspace_2a4211705605d82570a6ba3e4e94dca0,manifest,"Letter, [John F. Delaney], Seattle, Washington, to Caroline D. Delaney, [Salt Lake City, Utah]",,1899 November 5,MSN/MN 5004-37,,,,,,https://archivesspace.library.nd.edu/ark:/56090/508643,,,,,,,,,,,,
,,MSNMN5004_EAD,aspace_257eca7ea7d0ddc2c13086a4399ec7c3,MSN-MN_5004-38.a.150.jpg,file,a 150 jpg,,,,,,,,,,,,,"Letter, John F. Delaney, Salt Lake City, Utah, to Harry Haynes, n.p., Page 1",2018-12-11 16:01:09,True,s3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.a.150.jpg,,0,,,"{'Key': 'collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.a.150.jpg', 'LastModified': '2018-12-11 16:01:09', 'ETag': '""b40ec30532fc68f661ac37f82b801fdc-1""', 'Size': 298402, 'StorageClass': 'STANDARD', 'FileId': 'https://rarebooks.library.nd.edu/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38', 'Label': 'a 150 jpg', 'Order': 0, 'Source': 'RBSC', 'Path': 's3://libnd-smb-rbsc/collections/ead_xml/images/MSN-MN_5004/MSN-MN_5004-38.a.150.jpg'}"
